gene,mis_z,lof_z,syn_z,oe_mis,oe_lof,label
MAP3K12,2.9896,5.9578,-1.4258,0.63273,0.0,1.0
GGNBP2,3.2594,5.9203,0.54854,0.53172,0.0,1.0
CASK,4.2502,5.9306,0.082769,0.36955,0.0,1.0
TLE3,3.7217,5.9127,-1.0781,0.51897,0.0,1.0
CHD6,4.0001,10.073,0.84282,0.7089,0.031735,1.0
UBR5,6.2062,11.341,1.0089,0.55278,0.037137,1.0
EIF4G1,2.2233,8.3273,-2.5426,0.79333,0.023611,1.0
NBEA,5.5108,10.66,0.3441,0.59545,0.035174,1.0
SMARCA5,5.418,7.2819,1.1828,0.35469,0.01569,1.0
TSC2,-0.33027,8.3653,-8.3918,1.0284,0.023406,1.0
SUPT5H,4.561,7.3245,-0.26432,0.51145,0.015513,1.0
GREB1L,5.3659,8.3036,3.7752,0.52328,0.023739,1.0
PTCH1,1.6774,7.2534,-3.7582,0.83764,0.015809,1.0
CHD7,3.2193,10.483,-0.80878,0.77481,0.036285,1.0
RAD54L2,3.1297,7.2026,2.0632,0.69766,0.016026,1.0
CNOT3,3.7642,5.8127,-0.56341,0.50409,0.0,1.0
AHDC1,2.8589,5.7808,-0.56689,0.74823,0.0,1.0
U2SURP,4.0894,7.132,-0.47312,0.48696,0.016335,1.0
RBM25,4.3087,7.1634,-0.80682,0.44709,0.016196,1.0
GIGYF2,2.244,8.9934,1.1438,0.76306,0.02997,1.0
MBTD1,3.448,5.758,0.84732,0.46169,0.0,1.0
DCAF5,2.8802,5.73,-0.056605,0.65593,0.0,1.0
RABGAP1,2.9624,7.1236,0.40758,0.64972,0.016372,1.0
KHSRP,3.83,5.7269,-1.9547,0.45019,0.0,1.0
TM9SF2,3.2749,5.6971,-0.24832,0.51768,0.0,1.0
MATR3,2.7297,5.6762,0.014086,0.63884,0.0,1.0
PHF21A,2.8609,5.6424,1.1679,0.58696,0.0,1.0
NAV1,4.1487,8.0111,0.77173,0.64706,0.025417,1.0
HIVEP2,1.8295,8.0185,-0.94211,0.85807,0.025372,1.0
OGT,5.6667,5.6368,1.2967,0.20421,0.0,1.0
RBBP6,1.4906,7.9978,-1.5191,0.86299,0.025497,1.0
GTPBP4,0.07788,5.6646,0.12896,0.9885,0.0,1.0
MYBL1,2.1291,5.6595,0.51,0.68087,0.0,1.0
TEX11,1.814,5.6409,-1.6877,0.70081,0.0,1.0
DYNC1H1,10.967,13.319,-1.7184,0.39401,0.048236,1.0
SBNO1,3.3608,7.9807,-1.4588,0.65298,0.025601,1.0
THOC2,5.5258,6.9925,0.20091,0.33023,0.016971,1.0
PRKCB,3.987,5.618,0.30003,0.44513,0.0,1.0
INO80,3.5349,8.7817,-0.72015,0.66284,0.031343,1.0
TAF4,2.6834,5.6139,-1.8212,0.64267,0.0,1.0
FLNA,3.7802,7.8936,-2.9839,0.69814,0.02614,1.0
TRIM28,2.3295,5.5865,-4.5454,0.69805,0.0,1.0
CHD8,5.9467,10.116,1.0326,0.55921,0.038764,1.0
RBM33,1.7993,6.9163,-1.6624,0.80375,0.017334,1.0
SNRNP200,5.9363,9.4423,0.76918,0.51474,0.035815,1.0
XPO6,3.4849,6.9245,-0.18227,0.61388,0.017294,1.0
SMARCAD1,3.492,6.8998,-0.64308,0.57327,0.017414,1.0
FRMPD4,1.9503,5.536,-1.6077,0.7642,0.0,1.0
MACF1,3.4344,15.611,-0.62725,0.81865,0.056465,1.0
WAC,1.512,5.5297,-0.41624,0.76943,0.0,1.0
BRWD3,4.269,7.8315,-0.90397,0.5403,0.026535,1.0
ATP2B1,5.2916,6.8289,1.0522,0.41634,0.017765,1.0
EIF4G2,2.9814,6.7863,-0.27606,0.62085,0.017981,1.0
ZNF462,3.3514,8.5594,-1.4011,0.74905,0.032888,1.0
WDR26,3.5843,5.4825,1.3849,0.46877,0.0,1.0
CUL4B,3.7714,5.4835,-0.52201,0.40116,0.0,1.0
TRIM33,4.4853,6.7432,-0.80963,0.46512,0.018203,1.0
STXBP1,4.263,5.4555,0.96287,0.36068,0.0,1.0
TOPBP1,1.971,7.6954,-0.45488,0.79923,0.027431,1.0
NF2,2.287,5.4436,0.12638,0.64235,0.0,1.0
TET3,2.878,6.7547,-1.0416,0.74212,0.018143,1.0
MN1,2.1584,5.4068,1.3016,0.77959,0.0,0.99999
SUPT6H,5.1406,9.1679,0.78579,0.54877,0.037832,1.0
NHS,1.8225,5.4151,1.2953,0.79453,0.0,0.99999
RPS6KA3,4.5208,5.4141,1.4109,0.23277,0.0,0.99999
MYT1L,4.7706,6.7084,2.2463,0.50209,0.018386,1.0
UBP1,2.985,5.3861,0.87969,0.51555,0.0,0.99999
PLCL2,3.3335,5.3779,-0.11182,0.59678,0.0,0.99999
SPTBN1,4.5424,9.7002,-3.4388,0.65973,0.041887,1.0
MYH9,3.473,9.1057,-3.1588,0.71201,0.038313,1.0
ZDHHC5,1.849,5.3942,0.019135,0.75135,0.0,0.99999
LUC7L3,2.5831,5.3613,0.73503,0.53029,0.0,0.99999
COPB2,2.562,6.6412,0.94991,0.66925,0.018746,1.0
DNAJC14,1.5694,5.3608,0.8422,0.78081,0.0,0.99999
RNF17,1.7723,8.3704,0.99285,0.82604,0.03429,1.0
ANK3,2.7937,11.221,-0.66113,0.83627,0.049308,1.0
F8,2.4669,7.5532,1.3712,0.76099,0.028416,1.0
TM9SF3,3.5134,5.3195,0.34769,0.42272,0.0,0.99999
DLG3,2.8769,5.3454,0.69663,0.55698,0.0,0.99999
MGA,1.1016,9.5831,-0.11057,0.92134,0.042833,1.0
ANKRD52,4.4928,6.6071,1.4892,0.50223,0.018933,1.0
STAG2,4.938,6.6088,-0.36861,0.34031,0.018923,1.0
SATB2,4.0511,5.3152,-1.022,0.44061,0.0,0.99999
USP34,2.3403,12.39,-5.2715,0.84442,0.054952,1.0
MAP3K2,2.3059,5.3124,0.18974,0.63308,0.0,0.99999
PREX1,3.695,8.2555,1.1934,0.67076,0.035185,1.0
MED14,4.1329,6.5361,1.5661,0.48813,0.01933,1.0
CYFIP2,6.0129,7.4307,-0.16028,0.37447,0.029307,1.0
ZNF407,0.85896,7.4382,-2.2022,0.93187,0.029252,1.0
KPNB1,5.9325,6.5403,0.80432,0.23117,0.019307,1.0
ETV5,1.9912,5.2831,0.53133,0.67652,0.0,0.99999
CUL2,3.2543,6.4889,0.7987,0.54222,0.019602,1.0
HNRNPM,2.7428,5.2413,-1.1504,0.64274,0.0,0.99999
PIAS1,2.7204,5.2222,-1.5829,0.58948,0.0,0.99999
DAAM2,1.2724,6.4504,0.79687,0.85671,0.019827,1.0
EFTUD2,4.0264,6.4474,0.54507,0.52183,0.019846,1.0
YTHDC1,2.4773,6.457,-0.35465,0.65579,0.019789,1.0
NCBP1,3.5235,6.4421,0.65822,0.52155,0.019877,1.0
TCF20,0.089523,7.3225,-3.1373,0.99225,0.030129,1.0
DLL1,1.8154,5.2016,-2.4919,0.75713,0.0,0.99999
UBR4,5.6833,13.866,-0.45212,0.70065,0.062772,1.0
STAT3,4.9943,6.4306,0.23915,0.31301,0.019945,1.0
IGF2BP3,2.1157,5.1958,-0.74332,0.66995,0.0,0.99999
NSD1,3.4113,9.306,0.07793,0.74594,0.045197,1.0
SRCAP,2.1272,9.8122,-3.1117,0.86247,0.048453,1.0
ZNF777,3.0853,5.158,-1.6272,0.62712,0.0,0.99998
HNRNPK,3.9922,5.1507,-1.2246,0.33039,0.0,0.99998
SCAF8,1.8985,7.2726,-2.6153,0.79829,0.030519,1.0
ARID2,2.7332,8.0008,-1.8932,0.75151,0.037297,1.0
CCT3,1.1592,5.1316,0.46057,0.82199,0.0,0.99998
COL5A2,2.4395,8.6287,0.15978,0.76898,0.042311,1.0
PHC3,1.7208,6.3621,-1.5518,0.79108,0.02036,1.0
GATAD2B,3.161,5.1259,-0.12365,0.52311,0.0,0.99998
FBXO11,4.3792,6.3459,-2.4428,0.43588,0.02046,1.0
NOTCH1,3.4451,9.1999,-3.7944,0.7631,0.046153,1.0
COL3A1,4.0879,8.5852,-0.95628,0.60583,0.042706,1.0
PPP3CB,3.793,5.1134,0.27075,0.35977,0.0,0.99998
ILF3,2.6961,6.3153,-2.0355,0.6806,0.02065,1.0
PLEKHA5,1.2405,7.9257,1.3272,0.86518,0.037955,1.0
ZNF521,2.4538,6.3205,-1.2301,0.74354,0.020618,1.0
TAB2,1.613,5.1102,-0.93423,0.76006,0.0,0.99998
CTNND2,2.7736,7.207,-1.269,0.70388,0.031044,1.0
DDX5,2.7557,5.1038,-3.6876,0.58176,0.0,0.99998
ACTN4,4.1552,6.2964,-1.1775,0.50275,0.02077,1.0
UPF2,3.1919,7.1467,-0.43767,0.65314,0.031537,1.0
CARM1,4.2514,5.0806,0.069085,0.37199,0.0,0.99998
PAXIP1,3.283,7.1524,1.2888,0.60547,0.03149,1.0
BPTF,3.7096,10.117,-0.47933,0.72743,0.052698,1.0
EP300,2.0341,9.6471,-7.0523,0.8429,0.049966,1.0
FBXL19,3.8701,5.0476,0.028105,0.46171,0.0,0.99997
CREBRF,2.3634,5.0621,1.7055,0.63511,0.0,0.99997
HDAC2,4.0512,5.0498,1.2768,0.29884,0.0,0.99997
SP1,1.1354,5.0628,-1.5322,0.84499,0.0,0.99997
MAPK8IP2,2.5589,5.0537,0.26541,0.66915,0.0,0.99997
AP2A1,4.3968,6.2193,1.4182,0.4966,0.021266,1.0
ARCN1,2.0819,5.0455,-0.087895,0.6529,0.0,0.99997
SPTAN1,5.523,10.467,-1.2504,0.5815,0.055885,1.0
RPTOR,4.9391,7.8058,-0.17487,0.5333,0.039042,1.0
CAND1,4.1554,6.2242,-0.26758,0.53484,0.021234,1.0
COPS2,4.1315,5.0389,0.75215,0.21745,0.0,0.99997
SALL4,1.075,5.0361,-2.3851,0.87791,0.0,0.99997
CACNA1C,6.4654,8.935,0.11423,0.49513,0.048672,1.0
ARID1B,2.5854,8.4054,-0.11981,0.79124,0.044396,1.0
PSMD2,3.0867,6.1691,-0.17328,0.61262,0.021599,1.0
PSMD3,2.2798,5.0023,0.73826,0.64848,0.0,0.99997
KMT2D,3.7288,12.953,-1.4269,0.81238,0.066852,1.0
UBAP2L,3.3429,7.0227,-0.10874,0.62078,0.03259,1.0
ZNF148,3.5168,4.9945,-0.10224,0.5139,0.0,0.99997
BTK,4.0394,4.9881,1.3351,0.28493,0.0,0.99996
RRM1,3.9913,6.1646,-0.2861,0.45741,0.021629,1.0
PPP2R5E,3.8338,4.9962,-1.1311,0.31471,0.0,0.99997
RFX3,3.4728,6.1353,-2.1148,0.52557,0.021827,1.0
BIRC6,3.2081,12.544,-1.8672,0.81599,0.066571,1.0
LMNB2,0.65875,4.9502,-0.47431,0.90683,0.0,0.99996
CLTC,7.7637,8.3099,1.6337,0.2758,0.045332,1.0
COPA,3.558,7.6435,2.5474,0.62352,0.040587,1.0
COL1A1,3.5319,8.2338,-1.0026,0.6683,0.0461,1.0
DHX15,5.6313,6.0989,-0.44607,0.25451,0.022077,1.0
DHX9,5.8433,7.6244,-1.2106,0.37788,0.040774,1.0
MAP2,0.88429,6.9461,-0.58308,0.91978,0.033266,1.0
ZMYM3,4.306,6.0468,-0.29728,0.48023,0.022443,1.0
AGO2,6.0576,6.0739,0.90393,0.28501,0.022251,1.0
ANK2,1.9641,10.982,-0.57038,0.87832,0.062573,1.0
RALGAPB,3.1771,7.581,-0.3119,0.68711,0.041206,1.0
IPO7,3.5332,6.9164,-0.72079,0.57064,0.033534,1.0
PRPF19,3.7434,4.9117,1.1321,0.39535,0.0,0.99995
SCAF4,1.9418,6.9153,-0.89016,0.78701,0.033544,1.0
TBL1XR1,4.2042,4.9105,-0.37536,0.26576,0.0,0.99995
ANKRD11,-0.55363,8.168,-7.9551,1.039,0.046779,1.0
PAFAH1B1,3.5284,4.8929,0.91071,0.34862,0.0,0.99995
ZEB2,3.9433,6.0262,-0.23341,0.56934,0.022589,1.0
AP2A2,3.1324,6.0073,0.027723,0.63176,0.022726,1.0
SMU1,4.3121,4.873,0.96239,0.27288,0.0,0.99994
NAA25,3.4483,6.8459,0.90304,0.56931,0.034183,1.0
UBA1,3.4752,6.0143,-1.1364,0.54258,0.022675,1.0
BAZ1B,3.723,7.4774,-0.31584,0.63081,0.042263,1.0
HNRNPH1,4.0892,4.8393,-0.075417,0.28539,0.0,0.99993
CTIF,1.4914,4.8564,-0.78947,0.78433,0.0,0.99994
ABCB7,2.9037,4.8558,-0.095823,0.51366,0.0,0.99994
UTP15,1.4372,4.8192,0.16425,0.75565,0.0,0.99993
SETBP1,1.0965,5.9549,-1.0562,0.8952,0.023109,1.0
ARID5B,2.5999,5.9354,0.21165,0.7167,0.023254,1.0
RBM10,4.4623,5.9402,0.24196,0.39684,0.023218,1.0
TPR,2.9916,10.307,-0.94064,0.756,0.063762,1.0
RCOR1,1.8685,4.8,-0.75018,0.65488,0.0,0.99992
SUFU,1.9341,4.8039,0.71586,0.6782,0.0,0.99992
TRPS1,1.5433,5.9249,-0.60081,0.83282,0.023333,1.0
MTA1,3.502,5.9139,-0.3448,0.5543,0.023416,1.0
RUVBL2,3.1128,4.7948,0.044113,0.5245,0.0,0.99992
EIF4G3,2.9693,7.9488,0.049352,0.71313,0.04915,1.0
MDM4,1.7134,4.7912,-0.72278,0.70013,0.0,0.99992
NTRK2,3.7344,5.8929,-0.21455,0.5165,0.023575,1.0
ANKHD1,4.4679,9.001,0.94058,0.65749,0.056598,1.0
RORB,3.0833,4.7777,0.0087988,0.456,0.0,0.99991
TIAL1,3.5808,4.7869,1.2281,0.30972,0.0,0.99992
NRXN3,3.438,5.9013,0.56509,0.62255,0.023512,1.0
PTPRD,0.27314,8.5174,-5.5761,0.97665,0.053067,1.0
RBM26,2.529,6.7064,-0.5609,0.68802,0.035521,1.0
RIF1,-0.41404,8.9551,-2.657,1.0332,0.057117,1.0
NLK,3.565,4.77,0.78898,0.40775,0.0,0.99991
PHIP,5.1395,8.9332,0.29665,0.53198,0.057367,1.0
DPYSL5,3.0829,4.7564,0.31107,0.55123,0.0,0.99991
USP8,1.8666,6.6584,1.0041,0.77877,0.035998,1.0
TIPARP,1.7319,4.7661,-1.0734,0.73741,0.0,0.99991
ZBTB4,1.931,4.756,-0.33782,0.78435,0.0,0.99991
ISY1,1.2445,4.7362,1.7753,0.72141,0.0,0.9999
HNRNPU,3.3718,5.8399,-2.8295,0.55542,0.023985,1.0
TLK2,4.4909,6.622,0.025858,0.36899,0.036368,1.0
TRERF1,2.2553,6.6378,0.01723,0.76069,0.036207,1.0
DHX30,5.2961,6.6201,-1.3822,0.46078,0.036387,1.0
MYCBP2,6.0451,13.047,0.014441,0.65271,0.077305,1.0
FUBP1,2.9689,5.7955,-0.17446,0.56085,0.024336,1.0
TRIM24,3.4302,6.5977,1.6178,0.58716,0.036616,1.0
ZC3H7A,1.749,6.6191,-0.63805,0.78375,0.036397,1.0
UBXN7,3.1822,4.7008,-0.10758,0.45933,0.0,0.99988
SLC17A7,3.4894,4.7038,0.027074,0.4866,0.0,0.99988
NOTCH2,3.5024,8.8255,-0.43843,0.73313,0.058619,1.0
SMARCC1,2.4466,7.2271,0.23757,0.72072,0.044984,1.0
RAI1,1.1156,6.5812,-3.0398,0.90681,0.036788,1.0
CSE1L,2.8493,6.5458,-0.66039,0.64328,0.037158,1.0
EIF4A1,3.9298,4.6691,-4.0949,0.2981,0.0,0.99987
PIK3CA,5.5986,7.2093,2.3565,0.33762,0.045187,1.0
KIF5C,4.0539,6.5367,0.42563,0.49526,0.037254,1.0
REV3L,2.4677,10.029,0.55574,0.82596,0.066905,1.0
AGPS,3.2294,5.7488,0.14903,0.51965,0.024715,1.0
ADAM10,3.3058,5.7505,-0.63286,0.54084,0.0247,1.0
MED1,2.1391,6.5332,1.8332,0.79168,0.037292,1.0
SMARCC2,3.9085,7.2009,0.42387,0.58688,0.045283,1.0
MYRF,3.2927,6.5536,1.16,0.65013,0.037076,1.0
DOT1L,2.7249,7.1729,-3.418,0.75449,0.045607,1.0
CHAF1A,1.8498,5.7226,-0.90912,0.78456,0.02493,1.0
PSMD1,3.6969,6.5031,0.59442,0.53693,0.037612,1.0
SRRM2,-6.2829,9.165,-13.155,1.4308,0.062848,1.0
PIAS4,2.6256,4.66,-1.8052,0.60309,0.0,0.99986
ACTR3,3.6093,4.652,0.429,0.33036,0.0,0.99986
DDX3X,4.3295,4.6537,-0.67543,0.27569,0.0,0.99986
TSC1,2.3217,6.5116,0.58519,0.74273,0.037521,1.0
SON,1.541,7.7358,-3.6494,0.8818,0.051624,1.0
STAG1,4.4429,7.6943,-0.89384,0.51295,0.052126,1.0
ATRX,3.1025,8.2247,-0.82377,0.7023,0.056501,1.0
VCPIP1,3.5573,5.7082,0.093066,0.60593,0.02505,1.0
EIF4A3,4.021,4.6376,-0.81366,0.29074,0.0,0.99985
MAU2,4.0347,5.6982,-1.4771,0.40792,0.025133,1.0
PSMC2,3.6201,4.6413,0.47969,0.35774,0.0,0.99985
DAZAP1,3.3738,4.6434,-0.7742,0.39973,0.0,0.99985
POGZ,3.5062,7.1512,0.40266,0.65144,0.045859,1.0
PRKAR1A,3.1236,4.6449,-2.1115,0.40618,0.0,0.99985
SF3A3,3.6172,5.6997,0.22428,0.37419,0.025121,1.0
FXR1,3.201,5.6943,0.91284,0.51898,0.025167,1.0
CDC42BPB,3.6598,8.6335,-0.55324,0.67656,0.060953,1.0
XPO7,4.8157,7.0992,-1.2742,0.44285,0.046473,1.0
RARB,2.8661,4.6129,-1.817,0.49061,0.0,0.99983
RERE,2.0321,7.111,-2.8264,0.81038,0.046333,1.0
ZMYND11,3.7109,5.6841,-0.4108,0.4455,0.025252,1.0
RPL4,1.2717,4.6245,-1.8275,0.78028,0.0,0.99984
SUPT16H,5.1004,7.1005,0.29388,0.40008,0.046458,1.0
ZBTB47,2.4493,4.6119,0.23161,0.66187,0.0,0.99983
PRRC2C,2.4949,10.187,-1.0019,0.81366,0.071353,1.0
PPFIA3,5.487,7.0691,1.4244,0.42752,0.046834,1.0
ATP1A1,6.2154,6.4263,-1.3967,0.28542,0.038449,1.0
KIF11,3.2716,6.4328,0.62346,0.59624,0.038378,1.0
NCOA2,2.2865,7.0613,0.75524,0.77314,0.046929,1.0
HIPK1,2.4799,6.4165,-0.22431,0.72747,0.038558,1.0
ARMCX4,2.6373,5.6192,3.4923,0.73152,0.025809,1.0
KMT2C,2.1357,12.592,-0.53009,0.88047,0.082126,1.0
PIK3AP1,2.2563,5.6382,1.5449,0.71197,0.025645,1.0
SEMA4C,2.3851,5.6286,0.62225,0.70958,0.025727,1.0
CYTH1,2.4385,4.5836,-0.51166,0.55383,0.0,0.99981
RBM17,3.1023,4.5861,-0.18979,0.42505,0.0,0.99981
RTF1,4.5908,5.639,0.42933,0.31049,0.025638,1.0
IPO5,3.3553,7.0247,-0.68277,0.61544,0.047375,1.0
NUP98,1.4058,8.1147,-0.21618,0.87285,0.057874,1.0
TRAF2,1.5611,4.5604,-2.3377,0.75892,0.0,0.99979
EIF4B,2.1528,5.6015,-0.52193,0.68879,0.025964,0.99999
ADNP,2.0722,5.6124,-3.9236,0.75774,0.025868,1.0
RET,0.95512,6.3712,-0.094633,0.89563,0.039068,1.0
TEAD1,1.6568,4.5716,-0.3657,0.69773,0.0,0.9998
CCDC22,1.2892,4.5588,-0.088284,0.7795,0.0,0.99979
SHANK3,3.7434,6.3573,-3.3974,0.64575,0.039226,1.0
CACNA1E,5.8125,9.2898,-0.21348,0.55504,0.068996,1.0
PRMT5,3.0264,5.5848,0.91519,0.56015,0.026112,0.99999
JADE3,1.8969,4.5419,0.61302,0.69796,0.0,0.99978
WDR5,3.3923,4.5443,0.25697,0.31983,0.0,0.99978
CUL4A,2.8055,5.5873,-1.0085,0.59823,0.02609,0.99999
PCLO,-1.461,11.601,-3.9263,1.0815,0.080854,1.0
ZNF219,2.9209,4.5373,1.58,0.61002,0.0,0.99977
GAPVD1,2.5854,7.5016,-0.44873,0.7442,0.054558,1.0
EPC1,2.6729,6.3029,0.73673,0.64945,0.039853,1.0
KCNB1,4.269,4.5359,1.0813,0.46967,0.0,0.99977
NLGN2,4.4674,4.5049,0.27775,0.44249,0.0,0.99974
PCDH19,2.5929,4.514,-0.22514,0.67336,0.0,0.99975
DDX17,3.8727,5.5388,0.061768,0.47277,0.026525,0.99999
RB1,2.673,6.9291,0.48834,0.65484,0.048569,1.0
WNK1,2.1626,8.8217,-0.88117,0.82848,0.067205,1.0
ZC3H18,0.58028,6.3,-2.9603,0.93446,0.039887,1.0
CDK12,2.5249,6.9229,0.42992,0.74825,0.048648,1.0
HECTD4,6.9421,12.017,1.4291,0.59978,0.084692,1.0
RALGPS1,3.0924,5.5074,0.9877,0.51219,0.026813,0.99999
TNRC6C,1.6515,7.4244,1.1025,0.84992,0.055578,1.0
SCN2A,6.4584,7.9155,-0.12669,0.44204,0.060487,1.0
SOBP,1.9237,4.4836,0.61648,0.75396,0.0,0.99972
VCP,5.4064,5.5215,-1.1563,0.28123,0.026683,0.99999
TLN1,4.6725,9.8434,1.467,0.65764,0.075712,1.0
BTAF1,4.3771,8.7526,-0.30772,0.60237,0.068134,1.0
EPHA7,2.3854,6.2404,-0.3835,0.71144,0.040592,1.0
COL4A1,3.0194,8.3233,-2.9698,0.72647,0.065014,1.0
SIK3,2.8311,6.8499,-0.44008,0.7073,0.049592,1.0
KAT6B,2.8874,7.8898,0.2642,0.75545,0.060836,1.0
KAT7,4.2786,5.5003,-0.15565,0.35676,0.026879,0.99999
ZFR,4.0921,6.8692,0.25705,0.52202,0.04934,1.0
GSE1,-3.3094,6.2324,-8.4157,1.3262,0.040689,1.0
GSK3A,3.2166,4.4698,1.0395,0.42118,0.0,0.9997
L1CAM,2.836,6.2198,-0.65932,0.66343,0.040841,1.0
CTNNB1,3.846,5.4616,0.13946,0.47258,0.02724,0.99999
PBRM1,3.8389,7.8428,1.4351,0.62919,0.061482,1.0
PRICKLE1,1.8336,5.4724,0.90483,0.75902,0.027138,0.99999
PUM1,4.4202,6.8206,0.42365,0.52545,0.049979,1.0
AHCTF1,-0.3814,9.1094,-0.11785,1.0318,0.071387,1.0
TNPO2,5.8776,6.1954,-0.14575,0.28447,0.041138,1.0
AAK1,2.612,6.1979,0.33434,0.67376,0.041108,1.0
RASA1,3.0984,6.825,-1.4583,0.63758,0.04992,1.0
CDC5L,2.782,6.2097,-0.7294,0.62265,0.040964,1.0
FERMT2,1.9559,5.44,0.24971,0.71105,0.027446,0.99999
WTAP,2.2692,4.4385,-0.58084,0.56403,0.0,0.99966
UBR3,4.4286,8.2499,2.023,0.56644,0.066032,1.0
SCN8A,7.6404,7.8089,1.6057,0.35351,0.061954,1.0
FNIP2,1.2788,6.1839,0.65269,0.85376,0.041279,1.0
MSN,2.9335,4.4417,0.077094,0.46391,0.0,0.99967
PPP1R12A,2.6368,6.8079,0.18595,0.67127,0.050147,1.0
RANBP9,1.4878,5.448,-1.6287,0.77111,0.027369,0.99999
USP47,2.4375,7.3415,0.58579,0.73421,0.056706,1.0
CCDC88A,2.3494,8.6554,-0.17503,0.77629,0.069474,1.0
